TransactionNo,Items
1,Bread
2,"Scandinavian, Scandinavian"
3,"Hot chocolate, Jam, Cookies"
4,Muffin
5,"Coffee, Pastry, Bread"
6,"Medialuna, Pastry, Muffin"
7,"Medialuna, Pastry, Coffee, Tea"
8,"Pastry, Bread"
9,"Bread, Muffin"
10,"Scandinavian, Medialuna"
11,"Bread, Medialuna, Bread"
12,"Jam, Coffee, Tartine, Pastry, Tea"
13,"Basket, Bread, Coffee"
14,"Bread, Medialuna, Pastry"
15,"Mineral water, Scandinavian"
16,"Bread, Medialuna, Coffee"
17,Hot chocolate
18,Farm House
19,"Farm House, Bread"
20,"Bread, Medialuna"
21,"Coffee, Coffee, Medialuna, Bread"
22,Jam
23,"Scandinavian, Muffin"
24,Bread
25,Scandinavian
26,Fudge
27,Scandinavian
28,"Coffee, Bread"
29,"Bread, Jam"
30,Bread
31,Basket
32,"Scandinavian, Muffin"
33,Coffee
34,"Coffee, Muffin"
35,"Muffin, Scandinavian"
36,"Tea, Bread"
37,"Coffee, Bread"
38,"Bread, Tea"
39,Scandinavian
40,"Juice, Tartine, Coffee, Muffin"
41,Scandinavian
42,"Bread, Tea"
43,"Scandinavian, Fudge"
44,"Coffee, Medialuna"
45,"Coffee, Hot chocolate, Medialuna"
46,Coffee
47,"Ella's Kitchen Pouches, Juice, Bread, Muffin, Jam"
48,Coffee
49,"Coffee, Coffee, Medialuna"
50,"Bread, Victorian Sponge"
51,Bread
52,Scandinavian
54,Bread
55,"Frittata, Coffee, Tea, Hearty & Seasonal"
56,"Coffee, Frittata"
57,Scandinavian
58,"Victorian Sponge, Hot chocolate, Tea, Soup"
59,Tea
60,"Cookies, Coffee, Juice, Coffee"
61,Coffee
62,"Pick and Mix Bowls, Hearty & Seasonal, Hearty & Seasonal, Coffee, Smoothies, Coffee"
63,Coffee
64,Cake
65,"Tartine, Mighty Protein, Tea, Coffee"
66,"Hearty & Seasonal, Frittata, Mineral water"
67,"Hearty & Seasonal, Mineral water, Muffin"
68,"Frittata, Coffee, Tea, Scandinavian, Chicken sand"
69,"Bread, Tea, Victorian Sponge"
70,Fudge
71,Muffin
72,"Coffee, Bread"
73,Bread
74,"Coffee, Bread"
75,"Jam, Frittata"
76,Coffee
77,Scandinavian
78,Fudge
79,"Fudge, Tea, Coffee, Muffin"
80,"Frittata, Bread, Coffee"
81,"Coffee, Cake"
82,"Tartine, Bread"
83,"Coffee, Bread"
84,Bread
85,"Coffee, Coffee, Pastry, Medialuna"
86,Juice
87,Bread
88,"Coffee, Coffee, Jam"
89,Bread
90,"Bread, Coffee"
91,Tea
92,Coffee
93,"Bread, Coke"
94,"Coffee, Coffee"
95,"Tea, Pastry, Farm House"
96,"Pastry, Pastry, Coffee, Juice"
97,"Coffee, Pastry, Juice"
98,Farm House
99,"Pastry, Pastry, Coffee, Bread"
100,Bread
101,"Coffee, Pastry"
102,Farm House
103,Bread
104,"Coffee, Coffee, Medialuna, Muffin, Coffee"
105,"Coffee, Tea, Cake"
106,"Coffee, Coffee, Pastry, Pastry"
107,"Coffee, Tea"
108,"Farm House, Muffin"
109,"Bread, Muffin, Pastry"
110,Pastry
111,Coffee
112,Coffee
113,"Coffee, Cake"
114,Farm House
115,Bread
116,Coffee
117,"Cookies, Cake, Coffee, My-5 Fruit Shoot"
118,"Cookies, Cookies, Tea, Pastry"
119,"Coffee, Coffee, Muffin"
120,Farm House
121,"Coffee, Bread"
122,Cookies
123,"Jam, Coffee, Coffee, Juice"
124,"Coffee, Soup"
125,Tea
126,"Coffee, Jam"
127,Farm House
128,"Tartine, Coffee, Tea"
129,"Coffee, Coffee, Cake"
130,"Coffee, Coffee, Muffin"
131,"Bread, Coffee"
132,"Tea, Juice, Pick and Mix Bowls, Cookies"
133,"Hearty & Seasonal, Soup"
134,"Hearty & Seasonal, Tea, Farm House"
135,Bread
136,"Tea, Soup"
137,Farm House
138,"Soup, Hearty & Seasonal, Coffee"
139,"Bread, Muffin, Hearty & Seasonal"
140,"Coffee, Coffee, Cookies"
141,Bread
142,"Tea, Muffin"
143,Tea
144,"Soup, Hearty & Seasonal"
145,"Coffee, Tea, Focaccia"
146,Sandwich
147,"Tartine, Coffee"
148,"Fudge, Coffee, Coffee"
149,Coffee
150,Bread
151,"Coke, Soup"
152,Muffin
153,"Tea, Coffee, Cookies, Muffin"
154,"Mighty Protein, Hearty & Seasonal, Coffee, Coke"
155,"Tea, Muffin, Sandwich"
156,"Coffee, Muffin"
157,"Coffee, Bread"
158,"Coffee, Muffin"
159,"Bread, Hot chocolate, Cookies"
160,"Mineral water, Muffin"
161,Tea
162,Muffin
163,"Coffee, Juice"
164,"Coffee, Muffin"
165,Tea
166,"Coffee, Muffin"
167,"Sandwich, Hearty & Seasonal, Bread, Mineral water"
168,"Tea, Coffee"
169,Mineral water
170,Coffee
171,"Soup, Tea"
172,"Bread, Coffee"
173,"Bread, Muffin"
174,Coffee
175,Bread
176,"Cookies, Coffee"
178,"Coffee, Pastry"
179,"Coffee, Pastry"
180,"Jam, Tea"
181,"Tea, Tea"
182,"Pastry, Pastry, Ella's Kitchen Pouches"
183,Pastry
184,"Farm House, Tea"
185,"Tea, Victorian Sponge"
186,"Tea, Pastry"
187,Bread
188,Coffee
189,"Bread, Coffee"
190,"Coffee, Pastry, Pastry"
191,"Soup, Tea"
192,Bread
193,Coffee
194,"Bread, Bread"
195,"Bread, Scandinavian"
196,"Bread, Cake, Cookies"
197,"Coffee, Coffee, Tea"
198,"Coffee, Cookies"
199,Coffee
200,Bread
201,"Coffee, Pastry"
202,"Coffee, Coffee"
203,Coffee
204,"Scandinavian, Bread"
205,"Coffee, Coffee, Pastry"
206,"Scandinavian, Coffee, Pastry"
207,"Hearty & Seasonal, Coffee, Muffin"
208,Bread
209,Coffee
210,Scandinavian
211,"Soup, Coffee"
212,"Coffee, Cookies, Tartine"
213,Bread
214,"Bread, Tea, Tea"
215,"Pastry, Coffee"
216,"Tartine, Coffee"
217,"Bread, Cookies"
218,Sandwich
219,Tartine
220,"Bread, Pastry"
221,"Bread, Scandinavian"
222,Scandinavian
223,"Alfajores, Coffee"
224,Coffee
225,"Coffee, Coke, Soup"
226,Cake
227,"Tea, Sandwich, Soup"
228,Coffee
229,"Hearty & Seasonal, Bread"
230,Alfajores
231,Cake
232,"Tea, Tea, Bread"
233,"Coffee, Tea, Bread, Soup"
234,"Coffee, Coffee"
235,Scandinavian
236,Fudge
237,"Coffee, Sandwich"
238,"Tea, Bread, Cookies, Pastry"
239,Muffin
240,Scandinavian
241,"Jam, Tea"
242,"Juice, Tea, Alfajores"
243,"Cake, Muffin, Coffee, Soup"
244,"Hot chocolate, Cake, Coffee"
245,"Cake, Cookies"
246,"Tea, Bread"
247,"Alfajores, Coffee, Coffee, Coffee, Juice"
248,"Coffee, Tea, Soup"
249,Hot chocolate
250,Cookies
251,"Coffee, Medialuna"
252,"Bread, Eggs"
253,Scandinavian
254,Medialuna
255,"Coffee, Coffee, Pastry"
256,"Coffee, Bread"
257,"Bread, Coffee, Pastry"
258,"Coffee, Pastry"
259,Pastry
260,Coffee
261,Coffee
262,"Coffee, Hot chocolate, Pastry"
263,Coke
264,"Coffee, Jam"
265,Tea
266,"Bread, Pastry"
267,"Coffee, Alfajores, Farm House"
268,"Tea, Pastry"
269,Bread
270,"Coffee, Jam"
271,"Coffee, Tea, Coffee, Pastry"
272,Farm House
274,"Coffee, Bread, Pastry"
275,Farm House
276,"Coffee, Coffee, Pastry"
277,Farm House
278,"Coffee, Pastry"
279,Coffee
280,"Coffee, Pastry"
281,"Bread, Bread"
282,"Bread, Coffee, Pastry"
283,"Pastry, Coffee"
284,"Coffee, Farm House"
285,"Farm House, Farm House, Pastry"
286,"Bread, Juice, Alfajores"
287,"Coffee, Pastry"
288,"Bread, Alfajores"
289,Bread
290,"Coffee, Cookies"
291,Coffee
292,Cookies
293,Hearty & Seasonal
294,Coffee
295,"Jam, Tartine, Bread"
296,"Farm House, Scandinavian"
297,"Hearty & Seasonal, Coffee, Muffin, Scandinavian"
298,"Tartine, Pick and Mix Bowls, Coffee, Coke"
299,Bread
300,"Scandinavian, Farm House, Alfajores, Coffee, Coffee"
301,"Juice, Mineral water, Soup"
302,"Soup, Tea"
303,"Juice, Tea, Cookies, Soup"
304,"Hearty & Seasonal, Tea"
305,Fudge
306,"Coffee, Mineral water, Juice, Soup"
307,Hearty & Seasonal
308,"Hearty & Seasonal, Smoothies"
309,"Hearty & Seasonal, Tea"
310,"Coffee, Sandwich, Sandwich"
311,"Cookies, Farm House"
312,"Soup, Tea, Juice"
313,Soup
314,Coffee
316,Bread
317,"Cookies, Tea"
318,"Soup, Hearty & Seasonal, Bread"
319,Coffee
320,Coffee
321,"Coffee, Tea"
322,Bread
323,Tea
324,"Coffee, Tea"
325,Coffee
326,Fudge
327,Tea
328,"Soup, Tea"
329,Juice
330,Alfajores
331,Bread
332,"Coffee, Alfajores"
333,"Juice, Alfajores, Cookies, Pick and Mix Bowls, Mineral water"
334,"Coffee, Alfajores"
335,Fudge
336,"Mighty Protein, Juice"
337,"Coffee, Mineral water, Alfajores"
338,"Mighty Protein, Coffee"
339,Alfajores
340,"Coffee, Bread"
341,"Medialuna, Medialuna"
342,"Medialuna, Bread"
343,Farm House
344,"Coffee, Pastry"
345,Farm House
346,"Coffee, Coffee, Pastry, Pastry, Coffee"
347,Medialuna
348,"Bread, Tea, Sandwich"
349,Bread
350,"Jam, Coffee, Farm House"
351,Focaccia
352,Bread
353,"Tartine, Pastry, Bread, My-5 Fruit Shoot"
354,"Farm House, Pastry"
355,"Bread, Pastry"
356,"Pastry, Bread"
357,"Jam, Coffee"
358,Farm House
359,"Bread, Pastry"
360,"Coffee, Tea, Bread"
361,Jam
363,"Pastry, Medialuna, Medialuna"
364,Coffee
365,Tea
366,Bread
367,"Bread, Pastry"
368,Pastry
369,Farm House
370,Tea
371,"Coffee, Brownie, Alfajores, Fudge"
372,"Bread, Fudge, Cookies"
373,Coffee
374,Bread
375,"Coffee, Coffee, Jam, Pastry"
376,"Soup, Coffee"
377,"Smoothies, Soup, Hearty & Seasonal, Pastry"
378,"Pastry, Bread"
379,"Pastry, Medialuna"
380,"Tea, Coffee"
381,"Bread, Cookies"
382,"Coffee, Coffee, Bread, Hearty & Seasonal, Pick and Mix Bowls, Sandwich, Focaccia"
383,Coffee
384,"Coffee, Sandwich, Brownie"
385,"Brownie, Cookies"
386,Coffee
387,Coffee
388,"Sandwich, Bread, Coffee"
389,"Coffee, Hot chocolate"
390,Tea
391,"Sandwich, Coffee, Brownie"
392,"Brownie, Pastry, Focaccia, Farm House"
393,"Cake, Focaccia"
394,"Soup, Hearty & Seasonal, Mineral water"
395,Hearty & Seasonal
396,Hearty & Seasonal
397,"Coffee, Coffee, Pastry"
398,Coffee
399,"Tea, Cake"
400,"Coffee, Soup"
401,"Bread, Focaccia, Fudge"
402,"Hot chocolate, Coffee, Alfajores"
403,"Brownie, Pastry, Cake"
404,"Medialuna, Alfajores, Dulce de Leche"
405,"Dulce de Leche, Alfajores"
406,"Bread, Cake"
407,"Cake, Coffee"
408,Bread
409,Sandwich
410,"Bread, Coffee, Alfajores, Medialuna"
411,Coffee
412,"Bread, Alfajores"
413,"Tea, Coffee"
414,Bread
415,Dulce de Leche
416,Farm House
417,Fudge
418,Coffee
419,"Coffee, Alfajores, Juice, Ella's Kitchen Pouches, Brownie"
420,Alfajores
421,"Alfajores, Brownie, Cookies, Bread, Juice"
422,"Cake, Cookies"
423,Pick and Mix Bowls
424,Coffee
425,Farm House
426,Tea
427,Coffee
428,"Focaccia, Farm House"
429,Dulce de Leche
430,"Juice, My-5 Fruit Shoot, Ella's Kitchen Pouches, Cookies"
431,Bread
432,Hot chocolate
433,Coffee
435,Coffee
436,Coffee
437,Medialuna
438,"Bread, Tea, Jam"
439,Farm House
440,Bread
441,Coffee
442,"Medialuna, Coffee"
443,Bread
444,"Medialuna, Pastry, Medialuna"
445,"Coffee, Coffee, Jam"
446,"Bread, Coffee"
447,"Coffee, Coffee"
448,Bread
449,Hot chocolate
450,"Bread, Medialuna"
451,"Bread, Jam"
452,"Jam, Bread"
453,"Coffee, Bread"
454,"Bread, Farm House"
455,"Bread, Coffee, Coffee"
456,"Tea, Pastry"
457,"Coffee, Coffee"
458,Bread
459,"Pastry, Brownie"
460,Farm House
461,Coffee
462,"Tea, Coffee, Honey, Cookies"
463,Tea
464,Bread
465,Brownie
466,"Bread, Coffee"
467,Bread
468,Coffee
469,"Tea, Tea"
470,Tea
471,"Coffee, Coffee"
473,"Bread, Coffee"
474,"Bread, Bread"
475,"Bread, The BART"
476,"Coffee, Brownie"
477,Coffee
478,"Coffee, Brownie"
479,"Mineral water, Coffee, Coffee, Tartine"
480,"Brownie, Coffee"
481,"Brownie, Juice"
482,"Coffee, Coffee, Bread, Tea, Alfajores, Medialuna, Pastry, Jam"
483,Bread
484,"Fudge, Fudge"
485,"Coffee, Pick and Mix Bowls"
486,"Pastry, Bread"
487,"Soup, Scandinavian, Coffee, Mineral water"
488,"Juice, Mineral water, Sandwich, Pick and Mix Bowls"
489,"Bread, Pastry, Bread"
490,"Hearty & Seasonal, Hearty & Seasonal, Coffee, Coffee"
491,"Bread, Hearty & Seasonal, Coffee, Mineral water"
492,"Coffee, Tartine, Sandwich, Brownie"
493,"Coffee, Brownie"
494,"Alfajores, Coffee, Tartine"
495,"Mighty Protein, Coffee"
497,"Coffee, Hot chocolate"
498,"Soup, Jam, Coffee, Coffee"
499,"Mineral water, Brownie"
500,"Scandinavian, Coffee"
501,"Scandinavian, Coffee"
502,"Coffee, Coffee"
503,"Coffee, Coffee, Hot chocolate, Brownie, Hearty & Seasonal"
504,"Tea, Cake"
505,Medialuna
506,"Alfajores, Tea, Coffee"
507,"Coffee, Juice, Brownie, Alfajores"
508,"Coffee, Sandwich"
509,"Bread, Soup"
510,"Soup, Bread"
511,Bread
512,"Tea, Brownie, Cookies"
513,"Coffee, Bread, Brownie"
514,Brownie
515,"Cookies, Bread, Jam"
516,Coffee
517,"Tea, Brownie, Tea"
518,"Alfajores, Medialuna, Scandinavian"
519,"Hot chocolate, Coffee, Alfajores, Cookies"
520,Brownie
521,Fudge
522,"Tea, Brownie"
523,"Dulce de Leche, Fudge"
524,"Bread, Scandinavian, Fudge, Granola, Pastry, Coffee"
525,"Bread, Fudge"
526,"Hot chocolate, Coffee, Medialuna, Medialuna"
527,Bread
528,"Bread, Medialuna"
529,"Bread, Coffee, Medialuna, Jam"
530,"Jam, Coffee, Brownie"
531,"Bread, Coffee, Jam"
532,Scandinavian
533,"Coffee, Cookies"
534,"Coffee, Coffee, Scandinavian"
535,Bread
536,Bread
537,"Jam, Brownie, Coffee, Coffee"
538,Coffee
539,"Brownie, Hot chocolate"
540,Bread
541,"Bread, Bread, Medialuna"
542,"Coffee, Hot chocolate, Brownie"
543,Scandinavian
544,"Basket, Bread"
545,"Coffee, Bread, Brownie"
546,"Cake, Fudge"
547,"Coffee, Hot chocolate, Coffee, Basket"
548,Scandinavian
549,Scandinavian
550,"Coffee, Bread, Coffee, Cake, Medialuna"
551,"Coffee, Coffee, Medialuna"
552,"Bread, Pastry"
553,"Bread, Brownie"
554,"Medialuna, Farm House"
555,"Bread, Medialuna"
556,"Brownie, Medialuna, Hot chocolate, Smoothies, Coffee"
557,"Bread, Tea, Coffee, Brownie, Medialuna"
558,"Medialuna, Medialuna, Cookies"
559,"Coffee, Medialuna"
560,"Bread, Fudge"
562,"Coffee, Tea"
563,"Coffee, Cookies"
564,"Pastry, Bread, Brownie"
565,"Bread, Coffee, Bread"
566,"Coffee, Coffee, Tea"
567,Bread
568,"Medialuna, Coffee"
569,"My-5 Fruit Shoot, Coffee, Brownie"
570,"Coffee, Fudge"
571,Coffee
572,"Coffee, Basket"
573,Farm House
574,Farm House
575,"Coffee, Brownie"
576,"Scandinavian, Brownie, My-5 Fruit Shoot"
577,"Tartine, Coffee, Hot chocolate, Brownie"
578,"Brownie, Bread, Hot chocolate"
579,"Jam, Fudge"
580,Coffee
581,Fudge
583,"Mighty Protein, Hearty & Seasonal, Coffee, Tea, Cake"
584,Coffee
585,Scandinavian
586,"Cake, Victorian Sponge, Scandinavian"
587,"Tea, Cake"
588,"Coffee, Coffee"
589,"Coffee, Coffee"
590,Bread
591,Frittata
592,"Coffee, Coffee, My-5 Fruit Shoot, Brownie"
593,"Focaccia, Fairy Doors"
594,"Tea, Coffee, Coffee"
595,"Hot chocolate, Hearty & Seasonal, Pick and Mix Bowls, Brownie"
596,"Frittata, Coffee"
597,"Bread, Brownie"
598,Frittata
599,Scandinavian
600,Bread
601,Farm House
602,"Pick and Mix Bowls, Jam, Soup, Brownie"
603,"Hearty & Seasonal, Coffee, Tea"
604,Bread
605,"Bread, Frittata"
606,Scandinavian
608,"Tartine, Hot chocolate, Coffee"
609,"Coffee, Mighty Protein"
610,"Frittata, Coffee"
611,Scandinavian
612,"Hearty & Seasonal, Coffee, Mineral water"
613,Scandinavian
615,"Bread, Coffee"
616,"Hearty & Seasonal, Soup, Bread, Coffee"
617,"Brownie, Cake, Tea"
618,"Mighty Protein, Coffee"
620,"Coffee, Tea, Brownie, Soup"
621,Cake
622,"Hot chocolate, Coffee, Cake"
623,"Hearty & Seasonal, Coffee"
624,Coffee
625,"Frittata, Coffee, Brownie"
626,"Sandwich, Frittata, Coke, Mineral water, Brownie"
627,"Granola, Scandinavian"
628,"Coffee, Coke, Coffee"
629,"Tea, Tea, Brownie, Cake"
